order_id,account_id,product_type,revenue,cogs,order_date,ship_date,status,tech_id
ORD001027,ACC005,Clear Aligner Set,574.23,181.08,2024-04-02,2024-04-11,Complete,TECH02
ORD001028,ACC001,Partial Denture,390.49,173.2,2024-04-02,2024-04-05,Complete,TECH06
ORD001029,ACC007,Crown Zirconia,151.0,59.49,2024-04-02,2024-04-06,Complete,TECH02
ORD001030,ACC002,Nightguard,96.15,36.65,2024-04-02,2024-04-08,Complete,TECH01
ORD001031,ACC004,Nightguard,87.83,38.4,2024-04-02,2024-04-05,Complete,TECH01
ORD001032,ACC012,Implant Crown,268.35,95.76,2024-04-02,2024-04-11,Complete,TECH01
ORD001033,ACC002,Crown PFM,166.22,57.85,2024-04-02,2024-04-12,Complete,TECH03
ORD001034,ACC004,Nightguard,101.22,37.14,2024-04-02,2024-04-08,Complete,TECH01
ORD001035,ACC006,Nightguard,86.95,35.82,2024-04-02,2024-04-12,Complete,TECH05
ORD001036,ACC012,Nightguard,89.24,40.74,2024-04-02,2024-04-07,Complete,TECH01
ORD001037,ACC006,Implant Crown,285.27,104.7,2024-04-02,2024-04-14,Complete,TECH05
ORD001038,ACC001,Crown Zirconia,165.79,57.81,2024-04-02,2024-04-09,Complete,TECH02
ORD001039,ACC007,Full Denture,652.58,297.34,2024-04-02,2024-04-09,Complete,TECH04
ORD001040,ACC003,Crown Zirconia,148.88,58.25,2024-04-02,2024-04-06,Complete,TECH01
ORD001041,ACC005,Nightguard,91.8,40.53,2024-04-02,2024-04-08,Complete,TECH03
ORD001042,ACC002,Veneer,133.01,44.91,2024-04-02,2024-04-13,Complete,TECH01
ORD001043,ACC007,Nightguard,92.61,38.48,2024-04-02,2024-04-07,Complete,TECH03
ORD001044,ACC001,Crown Zirconia,179.12,52.84,2024-04-02,2024-04-08,Complete,TECH06
ORD001045,ACC003,Implant Abutment,200.14,66.98,2024-04-03,2024-04-06,Complete,TECH01
ORD001046,ACC006,Implant Abutment,177.65,68.16,2024-04-03,2024-04-10,Complete,TECH02
ORD001047,ACC008,Nightguard,102.26,37.7,2024-04-03,2024-04-08,Complete,TECH05
ORD001048,ACC001,Full Denture,711.03,281.98,2024-04-03,2024-04-10,Complete,TECH03
ORD001049,ACC011,Crown PFM,163.09,57.16,2024-04-03,2024-04-07,Complete,TECH03
ORD001050,ACC009,Partial Denture,451.67,185.38,2024-04-03,2024-04-09,Complete,TECH02
ORD001051,ACC014,Bridge 3-Unit,470.55,154.87,2024-04-03,2024-04-11,Complete,TECH04
ORD001052,ACC009,Implant Crown,275.51,101.67,2024-04-03,2024-04-06,Complete,TECH04
ORD001053,ACC002,Veneer,118.49,45.94,2024-04-03,2024-04-09,Complete,TECH01
ORD001054,ACC007,Partial Denture,387.92,189.52,2024-04-03,2024-04-10,Complete,TECH03
ORD001055,ACC007,Partial Denture,422.6,188.77,2024-04-03,2024-04-06,Complete,TECH01
ORD001056,ACC011,Implant Abutment,184.21,77.22,2024-04-03,2024-04-07,Complete,TECH05
ORD001057,ACC004,Full Denture,686.19,333.82,2024-04-03,2024-04-15,Complete,TECH02
ORD001058,ACC002,Partial Denture,355.67,191.72,2024-04-03,2024-04-09,Complete,TECH03
ORD001059,ACC004,Full Denture,717.94,313.93,2024-04-03,2024-04-10,Complete,TECH05
ORD001060,ACC003,Partial Denture,387.71,183.5,2024-04-03,2024-04-09,Complete,TECH04
ORD001061,ACC007,Partial Denture,422.39,190.9,2024-04-04,2024-04-11,Complete,TECH04
ORD001062,ACC005,Crown PFM,141.52,57.17,2024-04-04,2024-04-16,Complete,TECH06
ORD001063,ACC003,Veneer,121.26,40.6,2024-04-04,2024-04-09,Complete,TECH06
ORD001064,ACC001,Nightguard,101.27,38.15,2024-04-04,2024-04-10,Complete,TECH06
ORD001065,ACC003,Implant Crown,267.0,87.15,2024-04-04,2024-04-16,Complete,TECH01
ORD001066,ACC004,Clear Aligner Set,521.73,198.76,2024-04-04,2024-04-10,Complete,TECH02
ORD001067,ACC007,Crown PFM,162.86,65.23,2024-04-04,2024-04-13,Complete,TECH02
ORD001068,ACC002,Nightguard,96.53,37.68,2024-04-04,2024-04-08,Complete,TECH04
ORD001069,ACC001,Veneer,128.03,47.41,2024-04-04,2024-04-14,Complete,TECH05
ORD001070,ACC010,Nightguard,95.64,40.33,2024-04-04,2024-04-09,Complete,TECH06
ORD001071,ACC011,Veneer,115.78,40.9,2024-04-04,2024-04-15,Complete,TECH04
ORD001072,ACC006,Implant Abutment,196.94,73.64,2024-04-04,2024-04-12,Complete,TECH03
ORD001073,ACC011,Crown Zirconia,154.21,53.72,2024-04-04,2024-04-10,Complete,TECH01
ORD001074,ACC004,Full Denture,704.24,298.58,2024-04-04,2024-04-13,Complete,TECH04
ORD001075,ACC012,Clear Aligner Set,625.08,172.36,2024-04-04,2024-04-16,Complete,TECH04
ORD001076,ACC004,Full Denture,662.76,296.98,2024-04-04,2024-04-13,Complete,TECH05
ORD001077,ACC008,Nightguard,104.5,40.26,2024-04-04,2024-04-11,Complete,TECH04
ORD001078,ACC004,Partial Denture,388.69,182.85,2024-04-04,2024-04-09,Complete,TECH04
ORD001079,ACC012,Clear Aligner Set,568.44,206.97,2024-04-04,2024-04-07,Complete,TECH01
ORD001080,ACC007,Bridge 3-Unit,469.02,160.36,2024-04-04,2024-04-12,Complete,TECH02
ORD001081,ACC004,Full Denture,741.41,296.31,2024-04-04,2024-04-13,Complete,TECH03
ORD001082,ACC010,Veneer,108.58,43.47,2024-04-04,2024-04-12,Complete,TECH02
ORD001083,ACC007,Crown PFM,157.84,66.34,2024-04-04,2024-04-07,Complete,TECH05
ORD001084,ACC001,Bridge 3-Unit,427.72,158.0,2024-04-05,2024-04-15,Complete,TECH06
ORD001085,ACC002,Full Denture,640.52,310.45,2024-04-05,2024-04-09,Complete,TECH02
ORD001086,ACC013,Crown Zirconia,172.37,61.82,2024-04-05,2024-04-14,Complete,TECH04
ORD001087,ACC013,Implant Crown,261.91,99.78,2024-04-05,2024-04-09,Complete,TECH06
ORD001088,ACC009,Clear Aligner Set,605.76,202.65,2024-04-05,2024-04-08,Complete,TECH03
ORD001089,ACC005,Full Denture,623.72,312.95,2024-04-05,2024-04-14,Remake,TECH04
ORD001090,ACC001,Full Denture,720.05,324.18,2024-04-05,2024-04-14,Complete,TECH02
ORD001091,ACC008,Implant Abutment,205.53,76.6,2024-04-05,2024-04-15,Complete,TECH04
ORD001092,ACC010,Clear Aligner Set,531.9,204.82,2024-04-05,2024-04-09,Complete,TECH03
ORD001093,ACC011,Implant Crown,309.97,97.41,2024-04-05,2024-04-13,Complete,TECH01
ORD001094,ACC005,Full Denture,642.91,285.95,2024-04-05,2024-04-13,Complete,TECH03
ORD001095,ACC011,Implant Abutment,202.59,70.8,2024-04-05,2024-04-11,Complete,TECH06
ORD001096,ACC004,Nightguard,103.51,38.69,2024-04-05,2024-04-15,Complete,TECH04
ORD001097,ACC009,Crown Zirconia,160.64,55.73,2024-04-05,2024-04-17,Complete,TECH03
ORD001098,ACC004,Nightguard,93.66,41.01,2024-04-05,2024-04-13,Complete,TECH06
ORD001099,ACC004,Implant Abutment,187.76,65.1,2024-04-05,2024-04-09,Complete,TECH06
ORD001100,ACC005,Bridge 3-Unit,398.11,179.85,2024-04-05,2024-04-17,Complete,TECH05
ORD001101,ACC006,Crown Zirconia,182.85,54.48,2024-04-05,2024-04-12,Complete,TECH01
ORD001102,ACC008,Bridge 3-Unit,406.8,188.1,2024-04-05,2024-04-10,Complete,TECH06
ORD001103,ACC011,Veneer,111.08,38.83,2024-04-05,2024-04-15,Complete,TECH04
ORD001104,ACC003,Crown PFM,139.65,65.25,2024-04-05,2024-04-09,Complete,TECH04
ORD001105,ACC005,Clear Aligner Set,581.55,173.69,2024-04-05,2024-04-17,Complete,TECH03
ORD001106,ACC001,Implant Crown,264.94,101.22,2024-04-05,2024-04-17,Complete,TECH02
ORD001107,ACC009,Partial Denture,399.99,174.34,2024-04-05,2024-04-14,Complete,TECH03
ORD001108,ACC005,Crown PFM,152.6,63.74,2024-04-05,2024-04-11,Complete,TECH06
ORD001109,ACC002,Crown Zirconia,154.98,53.06,2024-04-05,2024-04-08,Complete,TECH04
ORD001110,ACC004,Clear Aligner Set,559.61,172.87,2024-04-05,2024-04-12,Complete,TECH06
ORD001111,ACC010,Crown Zirconia,176.85,61.76,2024-04-08,2024-04-20,Complete,TECH06
ORD001112,ACC009,Implant Crown,286.79,96.91,2024-04-08,2024-04-15,Complete,TECH02
ORD001113,ACC001,Bridge 3-Unit,461.23,174.83,2024-04-08,2024-04-15,Complete,TECH04
ORD001114,ACC001,Implant Abutment,209.61,76.93,2024-04-08,2024-04-18,Complete,TECH04
ORD001115,ACC001,Crown PFM,162.74,63.67,2024-04-08,2024-04-11,Complete,TECH01
ORD001116,ACC002,Clear Aligner Set,575.73,172.41,2024-04-08,2024-04-15,Complete,TECH05
ORD001117,ACC001,Bridge 3-Unit,427.4,176.8,2024-04-08,2024-04-13,Complete,TECH05
ORD001118,ACC004,Veneer,137.07,42.86,2024-04-08,2024-04-16,Complete,TECH06
ORD001119,ACC001,Bridge 3-Unit,412.63,178.28,2024-04-08,2024-04-17,Complete,TECH05
ORD001120,ACC001,Crown Zirconia,161.47,54.79,2024-04-08,2024-04-17,Complete,TECH05
ORD001121,ACC010,Crown PFM,154.34,61.29,2024-04-08,2024-04-14,Complete,TECH05
ORD001122,ACC003,Veneer,126.76,45.41,2024-04-08,2024-04-19,Complete,TECH02
ORD001123,ACC012,Veneer,134.43,42.99,2024-04-08,2024-04-20,Remake,TECH02
ORD001124,ACC008,Implant Abutment,202.35,71.31,2024-04-08,2024-04-12,Complete,TECH04
ORD001125,ACC013,Bridge 3-Unit,430.33,179.08,2024-04-08,2024-04-15,Complete,TECH04
ORD001126,ACC010,Veneer,115.31,43.57,2024-04-08,2024-04-20,Complete,TECH05
ORD001127,ACC008,Bridge 3-Unit,468.72,163.67,2024-04-08,2024-04-17,Complete,TECH03
ORD001128,ACC012,Nightguard,91.85,33.46,2024-04-09,2024-04-21,Complete,TECH05
ORD001129,ACC015,Veneer,133.96,42.65,2024-04-09,2024-04-17,Complete,TECH05
ORD001130,ACC009,Partial Denture,400.47,169.98,2024-04-09,2024-04-15,Complete,TECH05
ORD001131,ACC003,Partial Denture,359.81,185.21,2024-04-09,2024-04-18,Complete,TECH04
ORD001132,ACC014,Bridge 3-Unit,430.01,155.3,2024-04-09,2024-04-21,Complete,TECH03
ORD001133,ACC011,Veneer,110.99,46.73,2024-04-09,2024-04-14,Remake,TECH04
ORD001134,ACC011,Bridge 3-Unit,385.86,181.35,2024-04-09,2024-04-21,Complete,TECH06
ORD001135,ACC003,Crown Zirconia,183.64,60.93,2024-04-09,2024-04-18,Complete,TECH03
ORD001136,ACC006,Veneer,134.17,39.04,2024-04-09,2024-04-16,Complete,TECH02
ORD001137,ACC008,Partial Denture,452.11,185.77,2024-04-09,2024-04-13,Complete,TECH04
ORD001138,ACC002,Implant Abutment,219.54,64.02,2024-04-09,2024-04-16,Complete,TECH03
ORD001139,ACC003,Bridge 3-Unit,403.64,168.42,2024-04-09,2024-04-14,Complete,TECH02
ORD001140,ACC002,Clear Aligner Set,614.74,195.77,2024-04-09,2024-04-21,Complete,TECH02
ORD001141,ACC002,Implant Abutment,197.9,72.96,2024-04-09,2024-04-19,Complete,TECH03
ORD001142,ACC007,Bridge 3-Unit,385.76,187.08,2024-04-09,2024-04-16,Complete,TECH06
ORD001143,ACC013,Implant Abutment,197.77,67.71,2024-04-09,2024-04-19,Complete,TECH01
ORD001144,ACC002,Clear Aligner Set,544.36,183.14,2024-04-09,2024-04-12,Complete,TECH06
ORD001145,ACC003,Crown PFM,151.01,63.06,2024-04-09,2024-04-12,Complete,TECH05
ORD001146,ACC008,Implant Abutment,213.32,66.67,2024-04-09,2024-04-15,Complete,TECH06
ORD001147,ACC002,Implant Abutment,208.54,73.74,2024-04-10,2024-04-15,Complete,TECH06
ORD001148,ACC001,Crown PFM,141.7,60.03,2024-04-10,2024-04-15,Complete,TECH01
ORD001149,ACC012,Full Denture,739.07,283.69,2024-04-10,2024-04-21,Complete,TECH03
ORD001150,ACC005,Implant Abutment,215.99,67.06,2024-04-10,2024-04-20,Complete,TECH03
ORD001151,ACC008,Full Denture,748.72,301.84,2024-04-10,2024-04-16,Complete,TECH06
ORD001152,ACC008,Partial Denture,451.02,187.37,2024-04-10,2024-04-19,Complete,TECH01
ORD001153,ACC002,Crown Zirconia,167.26,58.84,2024-04-10,2024-04-22,Complete,TECH04
ORD001154,ACC010,Full Denture,630.42,287.3,2024-04-10,2024-04-21,Remake,TECH03
ORD001155,ACC012,Implant Crown,302.65,98.69,2024-04-10,2024-04-17,Complete,TECH06
ORD001156,ACC004,Bridge 3-Unit,382.76,155.3,2024-04-10,2024-04-14,Complete,TECH01
ORD001157,ACC002,Nightguard,88.72,36.89,2024-04-10,2024-04-21,Complete,TECH04
ORD001158,ACC006,Bridge 3-Unit,470.97,176.92,2024-04-10,2024-04-22,Complete,TECH04
ORD001159,ACC012,Implant Abutment,177.09,68.7,2024-04-10,2024-04-16,Complete,TECH03
ORD001160,ACC001,Full Denture,704.56,333.43,2024-04-10,2024-04-19,Complete,TECH03
ORD001161,ACC002,Crown Zirconia,187.65,60.6,2024-04-10,2024-04-16,Complete,TECH06
ORD001162,ACC006,Crown PFM,132.33,58.7,2024-04-10,2024-04-22,Complete,TECH02
ORD001163,ACC001,Nightguard,90.42,35.08,2024-04-10,2024-04-18,Complete,TECH02
ORD001164,ACC009,Clear Aligner Set,495.39,205.08,2024-04-10,2024-04-15,Complete,TECH05
ORD001165,ACC002,Bridge 3-Unit,389.54,184.33,2024-04-10,2024-04-18,Complete,TECH02
ORD001166,ACC006,Crown PFM,136.82,55.21,2024-04-10,2024-04-21,Complete,TECH01
ORD001167,ACC008,Veneer,121.45,41.91,2024-04-10,2024-04-20,Complete,TECH05
ORD001168,ACC002,Clear Aligner Set,500.96,202.15,2024-04-11,2024-04-22,Complete,TECH03
ORD001169,ACC004,Crown PFM,132.7,60.5,2024-04-11,2024-04-15,Complete,TECH04
ORD001170,ACC008,Veneer,110.2,39.43,2024-04-11,2024-04-15,Complete,TECH02
ORD001171,ACC002,Clear Aligner Set,570.4,184.28,2024-04-11,2024-04-22,Complete,TECH03
ORD001172,ACC004,Clear Aligner Set,554.15,202.53,2024-04-11,2024-04-22,Complete,TECH06
ORD001173,ACC011,Partial Denture,400.09,166.63,2024-04-11,2024-04-21,Complete,TECH04
ORD001174,ACC004,Crown Zirconia,161.39,54.67,2024-04-11,2024-04-16,Complete,TECH06
ORD001175,ACC012,Crown Zirconia,152.26,52.03,2024-04-11,2024-04-19,Complete,TECH02
ORD001176,ACC005,Clear Aligner Set,626.54,193.51,2024-04-11,2024-04-20,Complete,TECH03
ORD001177,ACC011,Partial Denture,441.22,184.36,2024-04-11,2024-04-23,Complete,TECH03
ORD001178,ACC003,Clear Aligner Set,564.77,177.63,2024-04-11,2024-04-15,Complete,TECH03
ORD001179,ACC010,Full Denture,631.53,290.07,2024-04-11,2024-04-20,Complete,TECH05
ORD001180,ACC014,Clear Aligner Set,579.37,196.67,2024-04-11,2024-04-18,Remake,TECH01
ORD001181,ACC002,Implant Abutment,220.42,68.41,2024-04-11,2024-04-16,Complete,TECH05
ORD001182,ACC007,Crown Zirconia,154.35,58.38,2024-04-11,2024-04-22,Complete,TECH02
ORD001183,ACC003,Veneer,118.23,41.98,2024-04-11,2024-04-23,Complete,TECH05
ORD001184,ACC001,Crown PFM,136.14,63.92,2024-04-11,2024-04-15,Remake,TECH03
ORD001185,ACC004,Partial Denture,403.46,174.31,2024-04-11,2024-04-22,Complete,TECH01
ORD001186,ACC003,Crown Zirconia,160.18,58.91,2024-04-11,2024-04-18,Complete,TECH01
ORD001187,ACC002,Clear Aligner Set,502.53,179.57,2024-04-11,2024-04-16,Complete,TECH03
ORD001188,ACC002,Crown Zirconia,148.82,59.71,2024-04-11,2024-04-20,Complete,TECH05
ORD001189,ACC008,Nightguard,98.77,38.52,2024-04-11,2024-04-20,Complete,TECH06
ORD001190,ACC001,Crown PFM,147.17,55.53,2024-04-11,2024-04-20,Complete,TECH05
ORD001191,ACC004,Partial Denture,384.09,172.98,2024-04-11,2024-04-16,Complete,TECH05
ORD001192,ACC004,Full Denture,626.98,325.16,2024-04-12,2024-04-24,Complete,TECH04
ORD001193,ACC005,Partial Denture,441.46,185.25,2024-04-12,2024-04-17,Complete,TECH01
ORD001194,ACC005,Crown Zirconia,170.39,53.29,2024-04-12,2024-04-20,Complete,TECH06
ORD001195,ACC013,Bridge 3-Unit,402.81,159.13,2024-04-12,2024-04-24,Complete,TECH02
ORD001196,ACC009,Crown Zirconia,155.81,60.01,2024-04-12,2024-04-24,Complete,TECH05
ORD001197,ACC004,Clear Aligner Set,583.41,210.07,2024-04-12,2024-04-20,Complete,TECH02
ORD001198,ACC004,Veneer,121.27,41.38,2024-04-12,2024-04-15,Complete,TECH03
ORD001199,ACC005,Implant Abutment,198.01,63.9,2024-04-12,2024-04-19,Complete,TECH01
ORD001200,ACC007,Crown Zirconia,173.87,56.92,2024-04-12,2024-04-23,Complete,TECH06
ORD001201,ACC011,Veneer,135.27,43.75,2024-04-12,2024-04-24,Complete,TECH04
ORD001202,ACC005,Crown PFM,146.83,64.62,2024-04-12,2024-04-16,Complete,TECH05
ORD001203,ACC007,Crown PFM,139.48,59.99,2024-04-12,2024-04-23,Complete,TECH05
ORD001204,ACC001,Full Denture,768.05,296.82,2024-04-12,2024-04-24,Complete,TECH01
ORD001205,ACC009,Full Denture,623.21,278.66,2024-04-12,2024-04-19,Complete,TECH03
ORD001206,ACC008,Clear Aligner Set,615.08,184.6,2024-04-12,2024-04-17,Complete,TECH03
ORD001207,ACC003,Partial Denture,368.23,183.92,2024-04-12,2024-04-23,Complete,TECH04
ORD001208,ACC007,Full Denture,750.24,314.35,2024-04-12,2024-04-23,Complete,TECH01
ORD001209,ACC007,Partial Denture,405.71,159.06,2024-04-12,2024-04-18,Complete,TECH03
ORD001210,ACC013,Veneer,113.76,47.52,2024-04-12,2024-04-19,Complete,TECH01
ORD001211,ACC005,Nightguard,105.33,40.16,2024-04-15,2024-04-23,Complete,TECH05
ORD001212,ACC001,Partial Denture,370.73,164.91,2024-04-15,2024-04-27,Complete,TECH02
ORD001213,ACC008,Crown PFM,145.39,62.95,2024-04-15,2024-04-25,Complete,TECH05
ORD001214,ACC002,Veneer,115.02,40.82,2024-04-15,2024-04-25,Complete,TECH02
ORD001215,ACC003,Clear Aligner Set,630.36,189.61,2024-04-15,2024-04-24,Complete,TECH05
ORD001216,ACC005,Bridge 3-Unit,463.77,182.04,2024-04-15,2024-04-22,Complete,TECH01
ORD001217,ACC007,Full Denture,706.27,279.16,2024-04-15,2024-04-19,Complete,TECH03
ORD001218,ACC001,Bridge 3-Unit,406.64,185.69,2024-04-15,2024-04-24,Complete,TECH01
ORD001219,ACC013,Implant Crown,314.69,103.58,2024-04-15,2024-04-24,Complete,TECH01
ORD001220,ACC003,Full Denture,652.08,334.46,2024-04-15,2024-04-18,Complete,TECH03
ORD001221,ACC012,Full Denture,746.53,281.33,2024-04-15,2024-04-25,Complete,TECH06
ORD001222,ACC010,Veneer,121.46,38.77,2024-04-15,2024-04-22,Complete,TECH02
ORD001223,ACC010,Nightguard,107.83,38.07,2024-04-15,2024-04-22,Complete,TECH02
ORD001224,ACC003,Crown PFM,139.14,62.48,2024-04-15,2024-04-19,Complete,TECH01
ORD001225,ACC010,Veneer,125.9,38.86,2024-04-15,2024-04-21,Complete,TECH06
ORD001226,ACC001,Partial Denture,355.65,171.1,2024-04-15,2024-04-20,Complete,TECH06
ORD001227,ACC007,Nightguard,108.65,33.95,2024-04-15,2024-04-26,Complete,TECH05
ORD001228,ACC005,Partial Denture,441.74,159.97,2024-04-15,2024-04-23,Complete,TECH03
ORD001229,ACC008,Full Denture,746.05,294.18,2024-04-15,2024-04-19,Complete,TECH05
ORD001230,ACC008,Full Denture,634.68,294.64,2024-04-15,2024-04-20,Complete,TECH06
ORD001231,ACC004,Veneer,126.95,45.86,2024-04-15,2024-04-25,Complete,TECH01
ORD001232,ACC003,Crown PFM,159.18,65.54,2024-04-16,2024-04-23,Complete,TECH05
ORD001233,ACC003,Nightguard,96.74,33.72,2024-04-16,2024-04-23,Complete,TECH03
ORD001234,ACC011,Crown PFM,161.89,58.68,2024-04-16,2024-04-24,Complete,TECH04
ORD001235,ACC011,Veneer,134.84,42.12,2024-04-16,2024-04-26,Complete,TECH06
ORD001236,ACC005,Nightguard,91.83,34.07,2024-04-16,2024-04-25,Complete,TECH05
ORD001237,ACC015,Bridge 3-Unit,435.27,165.24,2024-04-16,2024-04-23,Complete,TECH03
ORD001238,ACC004,Partial Denture,371.96,174.38,2024-04-16,2024-04-24,Complete,TECH05
ORD001239,ACC015,Implant Abutment,206.67,74.76,2024-04-16,2024-04-25,Complete,TECH03
ORD001240,ACC005,Bridge 3-Unit,478.04,159.0,2024-04-16,2024-04-26,Complete,TECH01
ORD001241,ACC001,Implant Crown,311.97,93.42,2024-04-16,2024-04-28,Complete,TECH01
ORD001242,ACC006,Veneer,136.46,41.99,2024-04-16,2024-04-28,Complete,TECH02
ORD001243,ACC005,Partial Denture,386.55,168.43,2024-04-16,2024-04-19,Complete,TECH06
ORD001244,ACC002,Nightguard,94.69,37.71,2024-04-16,2024-04-23,Complete,TECH06
ORD001245,ACC004,Clear Aligner Set,534.27,207.34,2024-04-16,2024-04-20,Complete,TECH02
ORD001246,ACC010,Veneer,113.18,45.0,2024-04-16,2024-04-24,Complete,TECH06
ORD001247,ACC003,Crown Zirconia,171.19,54.41,2024-04-16,2024-04-21,Complete,TECH06
ORD001248,ACC008,Bridge 3-Unit,461.34,171.81,2024-04-16,2024-04-22,Complete,TECH02
ORD001249,ACC002,Veneer,108.79,43.6,2024-04-17,2024-04-28,Complete,TECH02
ORD001250,ACC006,Crown Zirconia,151.21,55.66,2024-04-17,2024-04-27,Complete,TECH05
ORD001251,ACC004,Partial Denture,436.8,161.06,2024-04-17,2024-04-21,Complete,TECH04
ORD001252,ACC004,Nightguard,93.68,40.11,2024-04-17,2024-04-29,Complete,TECH02
ORD001253,ACC009,Bridge 3-Unit,423.42,185.87,2024-04-17,2024-04-21,Complete,TECH05
ORD001254,ACC001,Bridge 3-Unit,395.01,186.72,2024-04-17,2024-04-28,Complete,TECH03
ORD001255,ACC010,Implant Abutment,185.07,77.13,2024-04-17,2024-04-24,Complete,TECH05
ORD001256,ACC005,Nightguard,100.72,37.94,2024-04-17,2024-04-22,Complete,TECH06
ORD001257,ACC006,Clear Aligner Set,541.42,207.63,2024-04-17,2024-04-20,Complete,TECH01
ORD001258,ACC001,Clear Aligner Set,531.39,179.82,2024-04-17,2024-04-29,Complete,TECH06
ORD001259,ACC001,Nightguard,92.38,40.71,2024-04-17,2024-04-26,Complete,TECH03
ORD001260,ACC004,Crown PFM,136.23,59.71,2024-04-17,2024-04-25,Complete,TECH05
ORD001261,ACC001,Full Denture,736.81,326.17,2024-04-17,2024-04-22,Complete,TECH03
ORD001262,ACC005,Crown Zirconia,161.66,56.45,2024-04-17,2024-04-23,Complete,TECH02
ORD001263,ACC001,Implant Abutment,221.59,75.8,2024-04-17,2024-04-22,Complete,TECH03
ORD001264,ACC012,Full Denture,644.27,282.68,2024-04-17,2024-04-27,Complete,TECH04
ORD001265,ACC011,Veneer,108.7,47.04,2024-04-17,2024-04-23,Complete,TECH02
ORD001266,ACC006,Crown PFM,132.33,60.7,2024-04-17,2024-04-27,Complete,TECH03
ORD001267,ACC005,Crown Zirconia,166.28,61.28,2024-04-17,2024-04-26,Complete,TECH03
ORD001268,ACC001,Crown PFM,151.17,56.97,2024-04-17,2024-04-21,Complete,TECH04
ORD001269,ACC005,Nightguard,92.14,40.96,2024-04-17,2024-04-21,Complete,TECH02
ORD001270,ACC014,Partial Denture,392.35,193.92,2024-04-17,2024-04-25,Complete,TECH02
ORD001271,ACC002,Nightguard,95.03,33.75,2024-04-17,2024-04-25,Complete,TECH04
ORD001272,ACC005,Bridge 3-Unit,441.66,172.04,2024-04-18,2024-04-30,Complete,TECH03
ORD001273,ACC002,Clear Aligner Set,596.66,183.27,2024-04-18,2024-04-29,Complete,TECH05
ORD001274,ACC004,Clear Aligner Set,536.22,203.41,2024-04-18,2024-04-22,Complete,TECH04
ORD001275,ACC006,Crown PFM,152.14,57.85,2024-04-18,2024-04-30,Complete,TECH05
ORD001276,ACC002,Crown PFM,151.65,56.67,2024-04-18,2024-04-30,Complete,TECH04
ORD001277,ACC001,Implant Crown,258.75,104.82,2024-04-18,2024-04-21,Complete,TECH04
ORD001278,ACC003,Bridge 3-Unit,421.36,161.14,2024-04-18,2024-04-30,Complete,TECH04
ORD001279,ACC011,Crown PFM,156.08,60.99,2024-04-18,2024-04-28,Complete,TECH05
ORD001280,ACC003,Bridge 3-Unit,426.26,172.66,2024-04-18,2024-04-25,Complete,TECH05
